,date,username,user_location,tweet,num_of_like,num_of_retweet,num_of_followers,num_of_reply
27,2023-04-29 21:06:23+00:00,fiddler_mean,,"@AndyHerbert19 @IreNews8 @mclovinORfogel @EireAnalysis @WolvesAcademy @wolvesfancast @WolvesFC_latest @reptracker @htomufc @PLYouth @TalkingWolves @jamesallcott @GM_Pod @FTalentScout I just prefer Irish born player's. 
It's the Irish national team after all! I'm not interested in English player's not good enough for England claiming Irish decent to have an international career. 
People born in the UK are by their definition British,weather they like it or not",0,0,4,1
28,2023-04-29 19:15:05+00:00,dunleerweather,"Dunleer, Co. Louth, Ireland","19:59 IST: Forecast for the next 12 hours: Settled fine
#Weather #Ireland #Louth #IrishWeather @MetEireann",0,0,98,0
29,2023-04-29 18:44:35+00:00,farmersforlife1,"Sligo, Ireland",@businessposthq @think_or_swim Can’t see much climate change to be honest . Same shite Irish weather as every other year,4,0,44,0
30,2023-04-29 18:15:11+00:00,shivroyandshit,Ireland ,The Irish weather was not on my side waiting for the bus (it’s warm and sunny though) 🌦 https://t.co/skej2noStW,0,0,379,0
31,2023-04-29 17:53:48+00:00,titi_omodara,Abuja ,@AmeAdonis Pepper and yam are from many states in the North but Irish potatoes 🥔 is solely from plateau  state cos their weather there,1,0,1184,1
32,2023-04-29 17:33:57+00:00,StephenHerdman,"Belfast, Northern Ireland","Just shy of 500 miles into the journey so far and was able to see some ""Spectacular"" sights at both Mizen Head and Sheep's Head! Typical Irish weather.  #WildAtlanticWay https://t.co/91Fjj2WSVj",41,1,670,3
33,2023-04-29 17:30:56+00:00,Irish_Creem,Starbase 80,"@KMCHASING @PeppercornParty @weather_katie If that's how much time you need to react to a vehicle in front of you, yes.",1,0,418,0
34,2023-04-29 17:05:20+00:00,eR_Nephy,,"Typical Irish weather, one minute it's super hot, the next it's cold and raining 😂",4,0,825,1
35,2023-04-29 16:41:58+00:00,wilmabedrock1,belfast,This winter weather is just harassment now 😭😭😭#irishweather,0,0,784,0
36,2023-04-29 16:30:01+00:00,IrishCentral,New York City,"""Just be ready for the weather to change, and you will be prepared for Irish weather."" https://t.co/pmi60ThVmA",7,1,42010,0
37,2023-04-29 16:16:18+00:00,cemrealpsoy,,Found an emoji for Irish weather 🌦️,3,0,137,0
38,2023-04-29 16:15:05+00:00,dunleerweather,"Dunleer, Co. Louth, Ireland","16:59 IST: Forecast for the next 12 hours: Fine, becoming less settled
#Weather #Ireland #Louth #IrishWeather @MetEireann",1,0,98,0
39,2023-04-29 15:50:11+00:00,NiecyOKeeffe,Ireland.,@MarjorieMagee2 We deserve some kind of medal for putting up with Irish weather. Sick of it. 😤,1,0,7542,1
40,2023-04-29 15:36:50+00:00,susanl_author,,"@meanderingtripe Thanks Seamus, nice to meet you. Today is a bit of a blah day weather wise and health wise but am hanging on in there.

I’m also dealing with some degree of PTSD from vicious anon abuse from Irish writers and just wanted that to be acknowledged as well.",0,0,1626,0
41,2023-04-29 15:29:27+00:00,Larcs08,,"@ShayIRL Went into Supervalu, sunglasses on, tropical weather! Came out and it was absolutely pissing down. A day in the life of an Irish Person  🤣",1,0,64,1
42,2023-04-29 15:18:30+00:00,jimmymchugh1986,Northern Ireland,@NuggySouls Could be worse I live in the Irish countryside and as soon as we get good weather all the farmers are out spreading slurry,0,0,960,0
43,2023-04-29 14:34:33+00:00,onyemaikwuagwu1,"Lagos, Nigeria","@A_Abby_Abi Yes, I was always traveling to Jos from Kano to buy Irish potatoes and those their sweet 🧁 yams and tomatoes. Great weather they have.",4,0,1220,2
44,2023-04-29 13:30:00+00:00,Independent_ie,Dublin,"Irish weather: Local downpours in areas with a chance of lightning, hail and spot flooding https://t.co/zsJcfeqfKK",3,1,800946,1
45,2023-04-29 13:24:04+00:00,NojTatanka,right here,Playing in a golf tournament on the shores of Lake Michigan in some fine Irish weather today. https://t.co/5F5XIopIAz,2,0,1385,0
46,2023-04-29 12:35:45+00:00,irish_michigan,Michigan,"@ClimateHuman In Michigan, we've had one week of good weather so far in April. ""Climate change"" is a scam.",0,0,35,0
47,2023-04-29 12:30:28+00:00,todddmader,"Madison, WI","Back in Madison, but feeling very Irish with weather through Monday",4,0,340,0
48,2023-04-29 12:23:18+00:00,ErnestTweheyo,"Kanungu, Uganda","@drkasenene munete for me,

especially om irish in this weather",0,0,1641,0
49,2023-04-29 11:53:20+00:00,irishwol,Ireland,@thatzoek Céad míle fáilte! May the lovely Irish weather not drown you. There's a reason it's so green here.,1,0,1241,1
50,2023-04-29 10:59:22+00:00,kmddublin1971,Dublin Ireland,@jamesfahey15 Ola. Enjoying the Irish weather,1,0,59,0
51,2023-04-29 10:17:46+00:00,RoanB2006,Canada,though. Being a “fair weather native” isn’t fair to the people who live it every day. My ancestry is Inuit but I am not. My ancestry is South Asian but I am not. Doesn’t mean I won’t learn about my heritage but I am Scotch/Irish Canadian in upbringing. Be proud of who you are.,0,0,421,0
52,2023-04-29 10:15:04+00:00,dunleerweather,"Dunleer, Co. Louth, Ireland","10:59 IST: Forecast for the next 12 hours: Settled fine
#Weather #Ireland #Louth #IrishWeather @MetEireann",0,0,98,0
53,2023-04-29 10:02:39+00:00,saphhirebaby,planet earth ,@Pirtim Nice weather but a bit ash when i went as per harmattan season but cool city though also my favorite things as per lots of fruits and Irish potatoes. 😁,1,1,1745,0
54,2023-04-29 09:57:19+00:00,kat__scott,"London, England",I genuinely was not born to be in Irish/uk weather DaMN https://t.co/pDRVr4uUzZ,2,0,541,0
55,2023-04-29 09:37:14+00:00,CiaranCuffe,North Inner City,"Cloud, sunny, fog, dry, odd showers, heavy showers, lightning, hail, downpours...
And that's just today, for Dublin. That's why I love Irish weather forecasts https://t.co/zF41KMlsQl https://t.co/olTTU1duqR",18,4,24792,2
56,2023-04-29 09:22:14+00:00,tamsinblackcat,"Schull, West Cork","Market day in Skibbereen with beautiful Irish linens and embroidered cottons. The weather may not be particularly summery, but there’ll be sunny days ahead!
✂️🧵🪡
#slowfashion #irishmade #modernartisan #skibbereen https://t.co/R3zLu2FTM7",1,0,204,0
57,2023-04-29 05:59:16+00:00,DeanMcKinney3,Derry City,"@iamtomskinner Been wearing my DeWalt Ripstop shorts the last few days at work mate trying to get into the spring/summer mood. My milk bottles are well and truly out, however the Irish weather has been unforgiving. Haha! Happy Saturday mate and come on the Irons today⚒️⚒️",1,0,2013,0
58,2023-04-29 05:15:04+00:00,dunleerweather,"Dunleer, Co. Louth, Ireland","05:59 IST: Forecast for the next 12 hours: Settled fine
#Weather #Ireland #Louth #IrishWeather @MetEireann",0,0,98,0
59,2023-04-29 03:34:39+00:00,NDRugby,"Notre Dame, IN","Due to extreme weather, today’s match against USC has been rescheduled for 9:16 AM EDT tomorrow morning (4/29). Streaming will be available on The Rugby Network. Go Irish! ☘️",1,1,1563,0
60,2023-04-29 03:23:48+00:00,jannetwalsh,"Minnesota, USA",What's the weather in Ireland? Learn how to prepare for the weather in Ireland and the colorful ways the Irish use to describe the weather! #irishweather @IrishStewCast @IrishCentral @MetEireann @TourismIreland https://t.co/VXTi8Rcfr1,0,0,908,0
61,2023-04-29 00:23:11+00:00,cyclingseen,,Sunday’s race forecast. Proper Irish weather. Should sort the men out from the boys!! https://t.co/gk4QkmtgLs,2,0,12,0
62,2023-04-28 22:34:32+00:00,nevertoolat8,,"@rtenews You never cared when the figure was  10,000 Irish. 
Now you're worried about the cold weather, while trying to push global warming.",6,0,2307,0
63,2023-04-28 21:14:08+00:00,RoisinDubh_,Dublin's Fair City ,@rfwalsh86 I hope if it's an Irish beach you get the weather for it? 😂 Not the time of year to be swimming in the Irish sea,1,0,682,1
64,2023-04-28 20:33:14+00:00,whochulainn,"Galway, Ireland","@IrishTimes Quick summary of Michael D's beliefs:

Globalism when it means the Irish becoming a minority in our country via the importation of cheap labour to serve the landlord class, and placing excessive demand on the housing market - good.

Globalism when it impacts the weather - bad.",37,1,1334,5
65,2023-04-28 19:39:11+00:00,CoachOverpeck,,"Today's practice is cancelled due to weather. Monday is picture day, please bring the Irish Tennis t-shirt.",0,0,24,0
66,2023-04-28 19:15:05+00:00,dunleerweather,"Dunleer, Co. Louth, Ireland","19:59 IST: Forecast for the next 12 hours: Settled fine
#Weather #Ireland #Louth #IrishWeather @MetEireann",0,0,98,0
67,2023-04-28 19:09:50+00:00,doyle_eile78929,,@NIAbbot @LBC Looking forward to it. The weather forecast and don’t forget the little people….. coz I’m actually one of them…I’m short and Irish.  Always a fab listen and great laughs. Thank you Nick and your glamours assistant for great shows @LBC 10pm,4,0,151,0
68,2023-04-28 18:57:34+00:00,909originals,Ireland,I’ll never give out about the weather at Irish festivals again 😬,0,0,3385,0
69,2023-04-28 18:55:33+00:00,SissyJill,PNW,"@Nikki_Irish Ah, I've been there! I started packing up all my clothing for the weather I was hoping to not see again before the move. I hope you find a place soon!",1,0,400,1
70,2023-04-28 17:01:54+00:00,NordicTrackUK,United Kingdom,"Swept away by the beauty! *AND* by the gale force winds! 🍀🌪️

We truly loved the beautiful Irish weather and you will love this series! 🤩 

#NordicTrack #NordicTrackUK #iFIT ##iFITtrainer #running #cycling #rowing #strength #homegym #training #workout #fitness #cardio #ireland https://t.co/lARAEBYOUm",0,0,3046,0
71,2023-04-28 16:15:04+00:00,dunleerweather,"Dunleer, Co. Louth, Ireland","16:59 IST: Forecast for the next 12 hours: Fine weather
#Weather #Ireland #Louth #IrishWeather @MetEireann",0,0,98,0
72,2023-04-28 15:41:57+00:00,NaughtyNomad,The Mediterranean ,"@nomadcapitalist I'm Irish, love it, but the weather sucks. Give me the Med.",2,0,4823,1
73,2023-04-28 15:25:50+00:00,centralcatholic,"Toledo, Ohio",☘️ SCHEDULE UPDATE: Today's  Knight Relays (boys' @_CCTracknField) is being postponed until TOMORROW due to inclement weather. Field events will begin at 9:30 am &amp; running events will start at 10 am...GO IRISH!!! #CentralToLife l #CentralToAthletics l #CentralToSuccess ☘️ https://t.co/f5FV9GDBpQ,5,3,4470,0
74,2023-04-28 15:09:00+00:00,AJLangheld,"Dun Laoghaire-Rathdown, Irela",@BoormanPatrick @metoffice It's a bit much to be blaming the British for the Irish weather. But I'll take that.,0,0,31,0
75,2023-04-28 14:31:28+00:00,eastside2020,"Bangor, Northern Ireland",Welcome to the world of Northern Irish weather 😂🌨️🌞⚡💯,5,0,4787,1
76,2023-04-28 14:15:00+00:00,IrishMirror,Dublin,"Urgent warning for Irish travelling to Spain as extreme weather forecast for holiday hotspots

https://t.co/itiZPqEL8C",1,0,51568,0
77,2023-04-28 14:01:57+00:00,Independent_ie,Dublin,Irish weather: Bank holiday weekend expected to see plenty of sunshine with temperatures hitting highs of 19C https://t.co/mypezpjLYD,2,1,800946,0
78,2023-04-28 13:21:28+00:00,adamrocketblack,"The Hub O The Universe, Adj","@abledoc @Jason So you might be uninformed as to the climate details and weather peccadilloes of North America.

Notice Ireland &amp; and Labrador are almost identical latitudes &amp; area. If they were at all similar in climate Irish could have taken it over and been landowners.",0,0,421,1
79,2023-04-28 11:12:47+00:00,IrishMirror,Dublin,"Urgent warning for Irish travelling to Spain as extreme weather forecast for holiday hotspots

https://t.co/itiZPqEdj4",0,0,51568,0
80,2023-04-28 10:51:40+00:00,Stephen63784249,Wherever my wings take me.,"Ey up. Or, as the Irish say, ""Top of the morning to you"". The Scots, ""Brassic knicker weather"". Whilst in Welsh, ""Gwladiamtoseeyouthismormingboyo"".

The richness of our individual tongues (mines forked btw) surely means that we should stick together?

https://t.co/GXNhGqRv85",0,0,208,0
81,2023-04-28 10:15:04+00:00,dunleerweather,"Dunleer, Co. Louth, Ireland","10:59 IST: Forecast for the next 12 hours: Fine weather
#Weather #Ireland #Louth #IrishWeather @MetEireann",0,0,98,0
82,2023-04-28 08:44:36+00:00,Mistertonmick75,Misterton,"@MissDaisyBelle2 Top of the Morning to Daisy and Judith, we are having Irish weather this morning",0,0,546,0
83,2023-04-28 07:31:43+00:00,dearjohnbyrne,London,@nazaneentv You have just defined the entire Irish weather system.😂,1,0,15064,1
84,2023-04-28 07:13:26+00:00,Its_Carlos_Here,USA - Mexico ,@ov_doom the irish savage still dances to affect the weather. No wonder Greta fools him.,0,0,327,1
85,2023-04-28 07:02:01+00:00,andrewlaniganla,Éire 🇮🇪,I fecking despise Irish weather me,0,0,1683,0
86,2023-04-28 07:00:00+00:00,IrlEmbRome,"Rome, Italy","Are you an Irish citizen planning to get married in #Italy this summer? ✈️🇮🇹💍

The weather and food here are lovely, but paperwork can be time consuming!🧾

Make sure to plan ahead and call us or send an email to rome. consular@dfa.ie if you have any questions📨 https://t.co/ecuES3evqy",9,0,5879,0
87,2023-04-28 05:15:04+00:00,dunleerweather,"Dunleer, Co. Louth, Ireland","05:59 IST: Forecast for the next 12 hours: Fine weather
#Weather #Ireland #Louth #IrishWeather @MetEireann",0,0,98,0
88,2023-04-28 04:46:13+00:00,GerardOwens16,,"IRISH TIMES RTE REPORT o thank u obaku u came ireland ,,, we r so honoured,,,thank u turning up 3rd woman's racing and getting out of bed  presenting new ireland euro football.. yes thank me u fuckin white bastard and...and back 2 una 2 present weather...thank u patrick we have..",0,0,659,0
89,2023-04-27 21:30:55+00:00,lastcarnivl,they ⚥ them εïз eng/esp/한,nobody gaf about your irish cream triple shot latte when a severe weather warning just blared thru everyone’s phones in the lobby WAKE UP,7,0,1903,1
90,2023-04-27 20:44:19+00:00,PaulAversano,New York City,Successful start to the #golf season with a hard-fought flight victory at the first MG tourney of the season - strong competition and challenging #Irish weather!  Unfortunate loss in the shootout but a great time - thanks to the amazing staff at Hogs Head GC! #ireland #006 https://t.co/T4vFnugtoo,9,2,1128,0
91,2023-04-27 19:15:04+00:00,dunleerweather,"Dunleer, Co. Louth, Ireland","19:59 IST: Forecast for the next 12 hours: Showery, becoming less settled
#Weather #Ireland #Louth #IrishWeather @MetEireann",0,0,98,0
92,2023-04-27 19:11:22+00:00,GoldenCurlze,"California, USA","@boganella1 @BonnieblueBlue Shade lovers- hosta, hellebore, flowering maple, Daphne, mint, hydrangea, cold-weather orchids but protect from frost, vinca minor and major, asparagus fern, violas  aka Johnny jump-ups, tree ferns, spider plant, Irish moss, Corsican mint, um... what's your goal w these areas?",2,0,1726,1
93,2023-04-27 18:45:33+00:00,IrishNHTips,"Cork, Ireland","Punchestown
3:40 Fr Gilligansvoyage (EW)
           Arctic Weather (EW)
4:15 Life In The Park (EW) (NAP)
          Grandero Bello (EW)
4:50 Impervious
5:25 Vauban (W/O)
6:00 Champ Kiely (W/O)
6:35 Vaucelet
7:10 Arctic Bresil (EW) (NB)
7:45 Irish Panther (EW) (IWAC)",3,0,3197,0
94,2023-04-27 18:13:04+00:00,GartyJohnny,Wirral,@RealMessageEire Just waiting for the warm weather and easy scantily clad Irish girls they were promised.,51,2,82,2
95,2023-04-27 16:50:26+00:00,MarkFow74007631,,"British and Irish TV and film birthdays for 27 April

Happy birthday to Michael Fish, MBE FRMetS
(born 27 April 1944)
British BBC weather forecaster from 1974 to 2004. https://t.co/9t8rurWMgI",2,0,517,0
96,2023-04-27 16:28:14+00:00,KenttheGinger1,Texas,"@judithkratochvi @wahlstedt007 I’ll be NE of St. Louis this weekend with similar weather, great Irish weather! Enjoying it while I can!",0,0,59,0
97,2023-04-27 16:15:04+00:00,dunleerweather,"Dunleer, Co. Louth, Ireland","16:59 IST: Forecast for the next 12 hours: Showery, becoming less settled
#Weather #Ireland #Louth #IrishWeather @MetEireann",0,0,98,0
98,2023-04-27 15:38:16+00:00,DreamsVIPClub1,,Jerry curls &amp; Irish spring weather 😎,0,0,6,0
99,2023-04-27 13:06:09+00:00,remmysav,"Lagos, 🆖",Irish or Scottish kind of weather 🤔🤔🤔,0,0,3951,0
100,2023-04-27 12:27:49+00:00,sciotobaseball,"Dublin, OH","Military Appreciate Night tonight! Come on out to...
🇺🇸Support our veterans
⚾️See some great baseball
☘️Watch the Irish try to go for 13 straight W's
☀️Enjoy some great weather https://t.co/7PFGOVRjrk",25,6,585,3
101,2023-04-27 12:00:03+00:00,PixiedustJtT,UK,"Bridget O'Donovan and daughter Leah Brennan (1) enjoy the good weather in St Stephen's Green, Dublin 
Credit: Gareth Chaney/Collins Photos via The Irish Times https://t.co/Y2iwqx0RXi",0,0,653,0
102,2023-04-27 11:34:11+00:00,ciaranmullooly,Ireland,Very interesting insight  into the stress creation causes on Irish farms coming from the panel now at @EmbraceFARM  conference : 1: The Weather 😭😭   #EmbraceFARM,2,1,19995,0
103,2023-04-27 10:34:45+00:00,naritachis,she/her,"If I ever change country I think I'd go for Ireland, I love irish, I'm an irishboo. Only bad thing is the cold weather my blood not made for this but well I can get used to it",1,0,76,2
104,2023-04-27 10:34:06+00:00,irish_news,"Belfast, Northern Ireland","Spain is sweltering in summertime temperatures – with highs of 38 degrees centigrade in the southern Guadalquivir Valley – the country’s national weather service said

https://t.co/HbVI2f9RLA",1,1,123238,0
105,2023-04-27 10:15:05+00:00,dunleerweather,"Dunleer, Co. Louth, Ireland","10:59 IST: Forecast for the next 12 hours: Fairly fine, showery later
#Weather #Ireland #Louth #IrishWeather @MetEireann",0,0,98,0
106,2023-04-27 09:58:15+00:00,Dami1190,,@tapintobs Rival fans change their minds on Pep like the Irish weather.,0,0,1188,0
107,2023-04-27 06:31:10+00:00,IrishEmbTallinn,"Tallinn, Estonia","Today, we’re marking #PoetryDayIRL by revisiting our favourite Irish poems.

If you’re in Estonia, enjoy the recent beautiful weather with  ‘Teacht an Earraigh’ - ‘The Coming of Spring’, by Antaine Ó Raifteire. 

https://t.co/J1XOEo0wKi",10,1,2540,1
108,2023-04-27 05:15:05+00:00,dunleerweather,"Dunleer, Co. Louth, Ireland","05:59 IST: Forecast for the next 12 hours: Fairly fine, showery later
#Weather #Ireland #Louth #IrishWeather @MetEireann",0,0,98,0
109,2023-04-26 23:50:34+00:00,InlandFisherIE,"Dublin, Ireland",Irish Angling News:  Weather dictates success on Corrib https://t.co/qtckHyF0Wv #Angling #GoFishing #Ireland https://t.co/WhNPwBxtkm,5,3,5342,0
110,2023-04-26 23:29:03+00:00,eVisitorGuide,"CHI, MKE, STL & Nashville","Make @LizziesIrishPub part of your #Chicago plans! Cozy #Irish #pub with great food, plenty of #drink and awesome river-side warm-weather patio. Near @TheMagMile &amp; @NavyPier. https://t.co/jIED5gQOof #Chicago #travel #navypier #magmile #sightseeing #dining #nightlife #guinness https://t.co/Dn5t5I7cAX",0,1,935,0
111,2023-04-26 23:16:03+00:00,Databaseshare,"USA, Arizona",MartBids Database: weather winds the trade upwards - Irish Farmers Journal https://t.co/bdjLlZ55Lq,0,0,1350,0
112,2023-04-26 22:20:11+00:00,laurabirishart,County Antrim,"Irish art - Stormy Weather, pastel oil colours on sketch-paper https://t.co/axSFGlqrLs",0,0,957,0
113,2023-04-26 20:23:45+00:00,dinosaurcuts,space,@cut4jotaro @ugwjotaro FR LIKE IM SWEATING IN THE IRISH SUMMER WEATHER IN MY SUMMER UNIFORM AND HES SUNBATHING IN THAT CLIMATE WITH THAT UNIFORM JUST BC HE CAN?? LIKELY STORY 🤨,2,0,212,1
114,2023-04-26 19:58:33+00:00,conorleeson,"Wicklow, Ireland","@ruagarai @davidmcw Tell you what, top tier of the old SoL that night was not the place to be. Monsoon weather. Only Irish lad dressed even remotely suitable was Christy O'Connor Jnr in his golf waterproofs in the row in front of me... 🙈🙈",0,0,2701,1
115,2023-04-26 19:47:40+00:00,ProfessaJay,"Atlanta, GA",Why do local news r anchors and reporters have to use that generic voice? They should be comfortable using the thick accents and colloquialisms of the locality. Or get some working class Irish dude from Charlestown to do the Boston weather. It would be so much more fun lol.,30,3,12665,2
116,2023-04-26 19:15:05+00:00,dunleerweather,"Dunleer, Co. Louth, Ireland","19:59 IST: Forecast for the next 12 hours: Fairly fine, showery later
#Weather #Ireland #Louth #IrishWeather @MetEireann",0,0,98,0
117,2023-04-26 18:28:42+00:00,deskjockey17,,@cdngolftraveler @CartonFairmont @GoToIrelandCA @Failte_Ireland @CartonHouseGolf We did 17 days in Ireland in May 2016. Misty in Dublin landing. That was the last rain we saw until back in T.O. I had warned my kids &amp; wife about Irish weather. Way overpacked as it was sunny &amp; in the high 60's low 70's the whole time. Kids don't believe me about Irish weather,1,0,25,1
118,2023-04-26 18:02:12+00:00,SindiIvy,South Africa,perfect weather for a bottle of Irish whiskey (jameson select reserve),1,0,1273,0
119,2023-04-26 17:51:08+00:00,FobTurnip,"New Forest, IOW, & Shropshire","@willsheehan68 Ruler taker comes to mind....

... this lot would rather die ..... in their off shore tax havens ....

Meanwhile the economy tanks and stuff gets more expensive and they blame the weather... immigration.... Megan Markel.... the French.... the Irish....the metric system...",0,0,4224,0
120,2023-04-26 16:41:59+00:00,connie56,"Jasper, Tennessee","@penman_jcp 😂 indeed ... and probably why so many Scots and Irish settled here with all the mountains, rivers and the weather .. the manic weather. 😉",1,0,3319,0
121,2023-04-26 16:15:05+00:00,dunleerweather,"Dunleer, Co. Louth, Ireland","16:59 IST: Forecast for the next 12 hours: Fine weather
#Weather #Ireland #Louth #IrishWeather @MetEireann",0,0,98,0
122,2023-04-26 16:10:24+00:00,themichaelest,,That the irish potato famine was caused by poor weather.,0,0,62,0
123,2023-04-26 16:10:17+00:00,shereshoy_arts,Texas,"Won't feature in his official portrait, I don't think, but I went ahead and picked an outer layer for warm weather! There were a lot of good options, and some, like this Irish brat, were hard to let go of.

Figured a loose blanket rubbing against you dampens the senses too much https://t.co/5uxhbYAFOH",0,0,73,1
124,2023-04-26 16:01:45+00:00,9jaFanta,neverland,"if there’s one thing irish ppl love talking about, it’s the weather",0,0,1163,0
